Date,Close,High,Low,Open,10 D M.A.
2020-08-07,357.950,359.650,353.150,359.450,351.655
2020-08-10,363.550,364.950,357.350,359.500,352.15999999999997
2020-08-11,367.350,374.300,364.050,370.000,353.685
2020-08-12,366.850,368.750,363.750,365.750,355.265
2020-08-13,368.050,372.350,366.250,368.950,357.575
2020-08-14,361.400,371.800,354.200,371.800,359.03499999999997
2020-08-17,360.200,366.350,354.350,366.000,360.72999999999996
2020-08-18,369.550,370.000,361.600,361.900,362.585
2020-08-19,374.450,375.850,370.400,374.000,364.81
2020-08-20,367.750,369.650,362.600,367.000,365.71
2020-08-21,371.150,373.000,367.050,370.000,367.03000000000003
2020-08-24,380.350,381.200,373.850,374.850,368.71
2020-08-25,386.350,389.800,381.400,382.500,370.61
2020-08-26,389.350,391.650,384.200,388.200,372.86
2020-08-27,392.200,397.450,387.600,389.950,375.275
2020-08-28,409.700,411.900,392.900,393.900,380.10499999999996
2020-08-31,394.600,422.000,387.500,414.850,383.54499999999996
2020-09-01,390.950,399.650,385.300,394.700,385.68499999999995
2020-09-02,392.400,394.000,381.100,387.250,387.4799999999999
2020-09-03,382.750,392.550,381.050,392.400,388.9799999999999
2020-09-04,372.550,379.950,368.350,375.000,389.11999999999995
2020-09-07,373.400,376.850,369.000,374.100,388.42499999999995
2020-09-08,375.700,381.300,369.150,372.400,387.36
2020-09-09,367.600,372.400,361.900,370.800,385.185
2020-09-10,370.700,375.000,365.450,371.700,383.035
2020-09-11,370.500,373.650,365.100,373.000,379.11500000000007
2020-09-14,363.700,373.850,359.350,373.500,376.02500000000003
2020-09-15,371.550,372.250,363.700,364.050,374.08500000000004
2020-09-16,374.700,376.700,365.000,371.350,372.315
2020-09-17,369.000,371.750,367.400,370.000,370.94
2020-09-18,369.550,374.650,364.550,370.000,370.64
2020-09-21,350.700,367.400,348.500,366.650,368.37
2020-09-22,354.400,356.150,349.500,354.000,366.24
2020-09-23,351.850,357.100,342.450,356.600,364.665
2020-09-24,335.700,346.950,333.750,344.950,361.165
2020-09-25,348.650,350.500,336.600,339.050,358.98
2020-09-28,363.000,363.950,349.100,351.500,358.91
2020-09-29,357.050,363.750,354.250,363.750,357.46000000000004
2020-09-30,354.750,357.500,349.350,356.950,355.46500000000003
2020-10-01,369.200,371.200,358.250,358.250,355.485
2020-10-05,373.100,382.650,370.750,370.750,355.84000000000003
2020-10-06,380.600,381.800,375.100,377.100,358.83000000000004
2020-10-07,382.650,384.350,374.100,379.300,361.65500000000003
2020-10-08,387.500,389.700,382.650,385.000,365.22
2020-10-09,401.500,403.500,386.900,390.700,371.80000000000007
2020-10-12,404.050,410.000,400.700,403.450,377.34000000000003
2020-10-13,396.250,401.000,393.500,401.000,380.66499999999996
2020-10-14,406.800,409.250,389.000,394.350,385.64
2020-10-15,391.000,409.900,389.150,406.900,389.265
2020-10-16,396.100,401.300,390.500,394.000,391.95500000000004
2020-10-19,417.100,418.750,401.150,402.050,396.3550000000001
2020-10-20,414.600,416.900,411.000,413.500,399.75500000000005
2020-10-21,420.300,428.500,410.300,416.000,403.52000000000004
2020-10-22,412.900,419.650,407.650,416.400,406.06000000000006
2020-10-23,416.950,420.500,411.750,417.000,407.605
2020-10-26,404.450,419.150,401.450,418.050,407.645
2020-10-27,409.950,412.400,393.250,406.350,409.015
2020-10-28,396.050,409.900,394.800,409.900,407.93999999999994
2020-10-29,399.900,402.900,389.650,392.250,408.8299999999999
2020-10-30,392.600,402.700,388.050,399.400,408.47999999999996
2020-11-02,417.450,422.800,407.000,417.000,408.515
2020-11-03,443.850,446.900,424.200,425.000,411.43999999999994
2020-11-04,437.050,442.000,425.300,437.300,413.11499999999995
2020-11-05,438.500,446.250,435.600,445.000,415.675
2020-11-06,442.800,444.900,436.200,439.850,418.26000000000005
2020-11-09,462.700,464.600,449.000,450.000,424.08500000000004
2020-11-10,483.850,487.050,473.000,485.800,431.4750000000001
2020-11-11,486.550,490.550,472.100,484.750,440.5250000000001
2020-11-12,476.700,483.550,471.350,481.600,448.2050000000001
