Date,Close,High,Low,Open,10 M M.A.
2014-06-30,267.500,274.982,242.418,258.282,220.28730000000004
2014-07-31,283.055,284.364,256.691,265.873,228.2119
2014-08-31,260.645,294.336,259.545,283.273,234.8464
2014-09-30,295.755,296.945,257.273,262.364,244.44459999999998
2014-10-31,318.982,323.455,293.155,295.636,258.3846
2014-11-30,321.000,332.773,290.182,321.091,271.5055
2014-12-31,327.909,357.636,302.727,320.636,281.65909999999997
2015-01-31,304.773,327.909,287.636,327.545,289.5291
2015-02-28,286.818,329.091,275.091,318.955,292.4282
2015-03-31,301.045,304.364,269.727,286.364,296.7482
2015-04-30,288.409,307.273,273.273,301.045,298.83910000000003
2015-05-31,280.000,291.273,254.864,288.182,298.53360000000004
2015-06-30,274.909,291.818,257.000,280.636,299.96000000000004
2015-07-31,282.450,290.727,242.864,276.773,298.6295
2015-08-31,245.773,259.409,225.182,250.000,291.3086
2015-09-30,251.818,266.091,241.864,248.591,284.39040000000006
2015-10-31,248.682,257.000,232.727,251.818,276.46770000000004
2015-11-30,237.591,251.591,220.955,250.045,269.7495
2015-12-31,209.227,239.636,198.000,237.545,261.99039999999997
2016-01-31,172.773,206.682,164.318,206.364,249.16319999999996
2016-02-29,215.136,219.409,177.500,177.500,241.83589999999995
2016-03-31,215.409,234.364,199.182,214.545,235.37679999999995
2016-04-30,222.409,226.364,193.818,206.636,230.12679999999995
2016-05-31,218.682,237.455,201.000,221.727,223.74999999999994
2016-06-30,239.000,249.091,217.773,219.727,223.07269999999994
2016-07-31,234.545,237.545,215.136,232.636,221.34539999999993
2016-08-31,229.227,257.955,221.182,235.227,219.39989999999995
2016-09-30,251.682,265.091,217.364,228.182,220.8089999999999
2016-10-31,241.409,271.273,222.727,254.045,224.02719999999994
2016-11-30,232.091,245.273,224.273,242.045,229.95899999999992
2016-12-31,244.500,250.545,225.545,233.000,232.89539999999994
2017-01-31,251.227,266.091,238.909,241.682,236.4771999999999
2017-02-28,251.682,262.000,240.455,252.364,239.40449999999987
2017-03-31,253.182,265.091,241.091,253.455,242.85449999999986
2017-04-30,296.773,297.636,246.591,253.182,248.63179999999988
2017-05-31,290.150,297.273,283.450,295.909,254.19229999999988
2017-06-30,302.600,314.450,288.500,291.400,261.5295999999999
2017-07-31,298.050,305.200,261.550,303.900,266.16639999999995
2017-08-31,276.600,300.000,269.150,299.700,269.68549999999993
2017-09-30,300.100,314.650,255.000,276.600,276.4863999999999
2017-10-31,307.550,332.350,302.400,303.000,282.79139999999995
2017-11-30,314.000,319.200,287.000,309.700,289.0686999999999
2017-12-31,352.950,365.700,307.500,314.000,299.1954999999999
2018-01-31,313.250,355.900,311.100,347.550,305.2023
2018-02-28,278.350,314.000,273.550,312.650,303.35999999999996
2018-03-31,284.200,294.900,258.800,273.000,302.76499999999993
2018-04-30,285.800,317.500,275.550,284.200,301.0849999999999
2018-05-31,275.400,302.700,269.600,295.000,298.81999999999994
2018-06-30,304.250,308.500,256.500,274.000,301.5849999999999
2018-07-31,342.600,346.800,294.100,302.600,305.8349999999999
2018-08-31,305.550,344.000,300.050,343.600,305.63499999999993
2018-09-30,355.000,356.550,294.800,306.300,309.73499999999996
2018-10-31,355.150,375.300,347.650,357.000,309.955
2018-11-30,360.150,369.250,336.000,358.900,314.645
2018-12-31,364.450,383.550,336.650,361.500,323.255
2019-01-31,350.150,364.900,336.150,364.500,329.85
2019-02-28,400.500,402.400,350.650,352.050,341.32
2019-03-31,407.500,411.000,385.000,401.450,354.53
2019-04-30,423.700,439.200,375.250,407.500,366.47499999999997
2019-05-31,437.100,443.900,407.900,426.000,375.92499999999995
2019-06-30,424.600,442.000,401.700,439.500,387.8299999999999
2019-07-31,409.650,427.900,385.800,423.250,393.2949999999999
2019-08-31,433.700,458.650,384.350,409.650,401.14999999999986
2019-09-30,463.050,482.000,411.500,436.950,411.4399999999999
2019-10-31,512.600,520.000,460.500,466.650,426.25499999999994
2019-11-30,538.900,552.200,504.650,513.450,445.12999999999994
2019-12-31,525.650,547.400,515.000,539.900,457.64499999999987
2020-01-31,497.250,550.700,492.200,524.000,466.6199999999999
2020-02-29,323.750,520.550,268.300,508.250,456.6249999999999
2020-03-31,380.150,392.950,281.500,319.000,450.92999999999984
2020-04-30,331.950,359.000,285.550,359.000,441.6649999999998
2020-05-31,351.450,380.000,324.100,339.000,435.8449999999998
2020-06-30,346.800,395.650,340.400,354.250,427.15499999999986
2020-07-31,394.600,422.000,340.500,346.800,420.30999999999983
2020-08-31,354.750,399.650,333.750,394.700,404.52499999999986
2020-09-30,392.600,428.500,358.250,358.250,389.89499999999987
2020-10-31,486.550,490.550,407.000,417.000,385.9849999999998
2020-11-12,476.700,483.550,471.350,481.600,383.92999999999984
