,Company Names,Tickers
966,Munjal Showa Limited,MUNJALSHOW.NS
967,Murudeshwar Ceramics Limited,MURUDCERA.NS
968,Muthoot Capital Services Limited,MUTHOOTCAP.NS
969,Muthoot Finance Limited,MUTHOOTFIN.NS
970,MVL Limited,MVL.NS
971,NACL Industries Limited,NACLIND.NS
972,Nagarjuna Fertilizers and Chemicals Limited,NAGAFERT.NS
973,Nagarjuna Oil Refinery Limited,NAGAROIL.NS
974,Nagreeka Capital & Infrastructure Limited,NAGREEKCAP.NS
975,Nagreeka Exports Limited,NAGREEKEXP.NS
976,Nahar Capital and Financial Services Limited,NAHARCAP.NS
977,Nahar Industrial Enterprises Limited,NAHARINDUS.NS
978,Nahar Poly Films Limited,NAHARPOLY.NS
979,Nahar Spinning Mills Limited,NAHARSPING.NS
980,Natco Pharma Limited,NATCOPHARM.NS
981,Nath Bio-Genes (India) Limited,NATHBIOGEN.NS
982,National Aluminium Company Limited,NATIONALUM.NS
983,National Steel And Agro Industries Limited,NATNLSTEEL.NS
984,Info Edge (India) Limited,NAUKRI.NS
985,Navin Fluorine International Limited,NAVINFLUOR.NS
986,Navkar Corporation Limited,NAVKARCORP.NS
987,Navneet Education Limited,NAVNETEDUL.NS
988,NBCC (India) Limited,NBCC.NS
989,N. B. I. Industrial Finance Company Limited,NBIFIN.NS
990,Nava Bharat Ventures Limited,NBVENTURES.NS
991,NCC Limited,NCC.NS
992,NCL Industries Limited,NCLIND.NS
993,Naga Dhunseri Group Limited,NDGL.NS
994,Nandan Denim Limited,NDL.NS
995,New Delhi Television Limited,NDTV.NS
996,North Eastern Carrying Corporation Limited,NECCLTD.NS
997,Nectar Lifesciences Limited,NECLIFE.NS
998,Nelcast Limited,NELCAST.NS
999,NELCO Limited,NELCO.NS
1000,Neogen Chemicals Limited,NEOGEN.NS
1001,Nesco Limited,NESCO.NS
1002,Nestle India Limited,NESTLEIND.NS
1003,Network18 Media & Investments Limited,NETWORK18.NS
1004,Neuland Laboratories Limited,NEULANDLAB.NS
1005,Newgen Software Technologies Limited,NEWGEN.NS
1006,Next Mediaworks Limited,NEXTMEDIA.NS
1007,National Fertilizers Limited,NFL.NS
1008,Narayana Hrudayalaya Ltd.,NH.NS
1009,NHPC Limited,NHPC.NS
1010,The New India Assurance Company Limited,NIACL.NS
1011,NRB Industrial Bearings Limited,NIBL.NS
1012,NIIT Limited,NIITLTD.NS
1013,NIIT Technologies Limited,NIITTECH.NS
1014,Nila Infrastructures Limited,NILAINFRA.NS
1015,Nila Spaces Limited,NILASPACES.NS
1016,Nilkamal Limited,NILKAMAL.NS
1017,Indo-National Limited,NIPPOBATRY.NS
1018,Niraj Ispat Industries Limited,NIRAJISPAT.NS
1019,Nitco Limited,NITCO.NS
1020,Nitin Fire Protection Industries Limited,NITINFIRE.NS
1021,Nitin Spinners Limited,NITINSPIN.NS
1022,NK Industries Limited,NKIND.NS
1023,NLC India Limited,NLCINDIA.NS
1024,NMDC Limited,NMDC.NS
1025,NOCIL Limited,NOCIL.NS
1026,Noida Toll Bridge Company Limited,NOIDATOLL.NS
1027,Norben Tea & Exports Limited,NORBTEAEXP.NS
1028,N R Agarwal Industries Limited,NRAIL.NS
1029,NRB Bearing Limited,NRBBEARING.NS
1030,Nalwa Sons Investments Limited,NSIL.NS
1031,Neueon Towers Limited,NTL.NS
1032,NTPC Limited,NTPC.NS
